Timestamp,Source_IP,Destination_IP,Username,Action,Status
2025-10-01 07:55:00,207.7.178.223,130.228.125.237,helen,failed_login,success
2025-10-01 12:45:00,87.57.78.170,106.190.14.114,eva,failed_login,failure
2025-10-01 06:59:00,67.154.235.147,125.208.60.216,charlie,port_scan,failure
2025-10-01 11:49:00,172.133.4.99,203.243.135.8,bob,password_change,success
2025-10-01 02:14:00,89.18.80.29,212.121.124.64,frank,port_scan,failure
2025-10-01 04:41:00,138.17.247.87,203.142.205.109,helen,file_access,success
2025-10-01 04:15:00,19.32.70.230,76.144.184.238,eva,file_access,success
2025-10-01 20:00:00,215.33.199.207,20.130.70.71,eva,logout,failure
2025-10-01 16:18:00,94.114.133.187,46.64.156.78,helen,port_scan,success
2025-10-01 04:40:00,194.222.221.162,164.148.227.166,helen,login,failure
2025-10-01 05:02:00,7.141.115.120,9.87.5.226,eva,failed_login,success
2025-10-01 01:00:00,155.138.225.21,113.159.202.254,helen,file_access,failure
2025-10-01 11:27:00,254.48.124.110,166.189.65.242,helen,file_access,failure
2025-10-01 18:31:00,200.82.142.241,214.242.218.219,grace,password_change,failure
2025-10-01 19:40:00,19.254.222.2,182.5.17.216,frank,file_access,success
2025-10-01 13:31:00,51.86.32.18,35.124.63.226,charlie,failed_login,failure
2025-10-01 05:27:00,158.176.125.71,100.69.168.26,eva,login,success
2025-10-01 10:17:00,31.74.112.76,213.110.231.145,eva,failed_login,failure
2025-10-01 22:04:00,136.207.158.67,167.242.136.229,eva,failed_login,success
2025-10-01 06:24:00,111.87.38.207,61.2.17.151,bob,port_scan,failure
2025-10-01 13:36:00,150.96.119.130,134.242.244.248,helen,password_change,success
2025-10-01 19:23:00,215.57.240.10,214.252.217.114,david,password_change,success
2025-10-01 16:42:00,184.118.54.84,160.196.165.56,bob,password_change,success
2025-10-01 00:43:00,58.98.179.195,98.170.118.104,helen,failed_login,success
2025-10-01 01:52:00,177.214.34.91,162.39.240.0,helen,login,failure
2025-10-01 15:52:00,211.109.16.162,227.130.29.150,charlie,failed_login,failure
2025-10-01 00:22:00,255.249.175.215,95.214.78.201,helen,login,success
2025-10-01 10:11:00,243.39.152.98,182.54.77.189,helen,logout,success
2025-10-01 10:49:00,70.125.72.245,144.155.124.221,bob,port_scan,success
2025-10-01 06:41:00,241.142.47.189,88.124.208.153,david,failed_login,failure
2025-10-01 12:19:00,101.203.49.22,112.39.153.102,alice,logout,success
2025-10-01 23:37:00,2.129.65.90,178.200.76.229,david,password_change,failure
2025-10-01 19:19:00,8.124.206.206,88.36.16.115,helen,password_change,success
2025-10-01 20:01:00,244.176.50.125,179.15.142.175,alice,file_access,failure
2025-10-01 12:53:00,40.213.209.127,58.61.17.38,david,file_access,failure
2025-10-01 04:20:00,117.154.190.105,59.245.148.114,grace,failed_login,failure
2025-10-01 09:02:00,68.198.226.220,27.215.135.66,grace,login,success
2025-10-01 20:52:00,38.87.237.237,224.94.157.69,eva,port_scan,failure
2025-10-01 08:48:00,189.164.51.248,164.169.72.182,charlie,logout,failure
2025-10-01 15:45:00,147.175.155.255,113.118.151.157,alice,login,success
2025-10-01 07:39:00,239.22.215.173,229.189.120.26,frank,file_access,success
2025-10-01 13:05:00,175.243.46.229,63.53.94.56,alice,file_access,failure
2025-10-01 18:54:00,69.173.237.44,198.191.140.146,david,port_scan,success
2025-10-01 18:49:00,101.227.123.244,80.240.185.253,frank,failed_login,failure
2025-10-01 19:46:00,164.6.156.48,122.122.45.156,helen,failed_login,failure
2025-10-01 20:59:00,252.118.224.22,234.160.175.57,alice,logout,failure
2025-10-01 17:02:00,143.168.17.178,225.219.11.91,bob,password_change,success
2025-10-01 13:05:00,76.134.107.173,80.149.158.202,eva,port_scan,failure
2025-10-01 21:40:00,51.197.236.254,243.17.66.16,grace,password_change,success
2025-10-01 04:33:00,77.152.186.105,64.70.73.50,bob,port_scan,failure
2025-10-01 11:05:00,196.210.223.254,130.25.201.76,charlie,file_access,failure
2025-10-01 06:23:00,175.100.58.180,86.246.43.5,bob,failed_login,success
2025-10-01 05:12:00,199.28.46.251,101.142.18.101,david,failed_login,failure
2025-10-01 11:33:00,213.114.1.145,75.247.184.134,bob,logout,failure
2025-10-01 17:20:00,232.53.167.36,49.228.4.251,grace,port_scan,failure
2025-10-01 22:48:00,185.139.90.132,117.152.192.68,bob,port_scan,success
2025-10-01 17:45:00,3.153.253.243,191.139.200.47,eva,port_scan,success
2025-10-01 00:37:00,35.163.11.170,205.156.200.74,grace,port_scan,success
2025-10-01 04:20:00,67.143.53.255,239.34.119.159,eva,logout,success
2025-10-01 02:31:00,254.133.153.170,185.58.38.172,grace,file_access,failure
2025-10-01 09:49:00,187.254.47.209,105.140.1.178,bob,password_change,failure
2025-10-01 16:22:00,253.207.232.108,66.106.193.21,bob,failed_login,failure
2025-10-01 23:04:00,192.56.80.19,74.226.72.221,david,login,success
2025-10-01 09:26:00,58.74.19.148,132.134.205.190,grace,logout,failure
2025-10-01 06:16:00,244.167.191.214,128.1.174.73,frank,login,success
2025-10-01 17:26:00,73.241.146.236,222.115.236.234,charlie,password_change,failure
2025-10-01 07:32:00,85.146.46.242,127.159.153.120,alice,password_change,failure
2025-10-01 02:33:00,164.111.129.47,24.230.186.164,david,login,success
2025-10-01 20:31:00,110.141.30.222,192.188.16.146,bob,login,failure
2025-10-01 01:37:00,68.32.26.236,7.67.21.195,alice,failed_login,success
2025-10-01 10:59:00,69.117.192.62,75.186.46.159,frank,port_scan,failure
2025-10-01 14:18:00,97.238.181.105,239.168.20.221,alice,password_change,failure
2025-10-01 18:02:00,71.142.239.173,251.151.4.187,david,failed_login,failure
2025-10-01 06:02:00,139.155.4.36,188.82.224.119,david,login,success
2025-10-01 07:55:00,34.86.193.149,147.92.151.164,frank,password_change,success
2025-10-01 05:50:00,128.242.170.66,192.8.78.131,eva,failed_login,failure
2025-10-01 10:01:00,45.234.31.101,223.190.32.14,eva,login,failure
2025-10-01 07:52:00,28.157.89.176,154.189.23.238,charlie,port_scan,success
2025-10-01 15:02:00,49.49.218.25,180.232.46.55,eva,logout,success
2025-10-01 10:01:00,129.170.121.179,133.154.2.94,eva,login,failure
2025-10-01 09:52:00,127.78.9.10,128.83.228.190,helen,failed_login,failure
2025-10-01 18:08:00,2.107.135.238,234.87.126.42,eva,password_change,success
2025-10-01 13:04:00,58.156.159.38,175.7.144.113,frank,port_scan,success
2025-10-01 01:13:00,216.23.224.239,64.218.9.192,charlie,password_change,failure
2025-10-01 17:10:00,134.226.236.207,21.208.230.7,helen,port_scan,failure
2025-10-01 04:07:00,66.59.218.95,114.160.112.159,alice,login,failure
2025-10-01 13:03:00,34.163.201.106,190.59.201.105,grace,logout,success
2025-10-01 01:56:00,197.65.110.229,172.145.103.109,charlie,file_access,failure
2025-10-01 10:47:00,56.34.172.151,183.170.126.60,david,file_access,failure
2025-10-01 20:08:00,7.71.32.63,222.26.132.98,frank,password_change,success
2025-10-01 02:51:00,25.128.126.45,77.38.239.239,helen,file_access,success
2025-10-01 17:20:00,79.159.226.163,243.100.221.73,frank,logout,success
2025-10-01 04:08:00,20.137.170.122,253.79.11.236,charlie,port_scan,failure
2025-10-01 04:31:00,65.201.34.75,32.81.254.218,charlie,port_scan,failure
2025-10-01 06:47:00,212.148.249.168,236.243.63.114,charlie,file_access,success
2025-10-01 19:18:00,47.232.180.201,146.235.161.1,alice,port_scan,failure
2025-10-01 23:57:00,10.250.201.147,122.93.12.160,helen,port_scan,failure
2025-10-01 05:26:00,127.203.255.50,254.226.168.178,helen,failed_login,success
2025-10-01 16:23:00,226.8.103.235,119.171.94.177,grace,logout,success
2025-10-01 03:26:00,188.138.194.152,31.26.183.185,helen,failed_login,success
2025-10-01 07:43:00,191.34.81.69,96.232.51.159,charlie,port_scan,success
2025-10-01 08:38:00,64.127.55.155,106.65.219.245,grace,login,failure
2025-10-01 10:45:00,26.66.56.182,57.205.153.248,frank,login,success
2025-10-01 16:17:00,85.104.246.99,31.116.95.128,david,login,failure
2025-10-01 15:50:00,114.46.11.252,110.113.30.16,alice,failed_login,failure
2025-10-01 17:31:00,125.193.52.253,137.85.214.6,frank,failed_login,failure
2025-10-01 13:16:00,210.29.243.52,253.51.250.18,david,password_change,failure
2025-10-01 23:14:00,14.230.252.49,128.32.118.15,grace,password_change,failure
2025-10-01 08:28:00,213.186.180.216,164.116.12.208,charlie,password_change,success
2025-10-01 15:30:00,102.224.51.213,148.188.143.104,grace,port_scan,success
2025-10-01 11:46:00,246.239.250.118,211.105.112.142,bob,login,success
2025-10-01 02:15:00,252.218.41.254,72.18.154.16,bob,file_access,failure
2025-10-01 22:52:00,175.214.163.165,173.244.165.70,alice,login,success
2025-10-01 15:43:00,117.91.41.250,192.120.246.48,charlie,logout,success
2025-10-01 00:42:00,171.195.197.183,155.82.106.188,eva,failed_login,failure
2025-10-01 00:57:00,226.60.69.43,131.154.218.244,eva,port_scan,failure
2025-10-01 12:39:00,48.222.67.40,54.180.95.149,grace,port_scan,success
2025-10-01 09:00:00,93.227.27.105,21.145.126.210,charlie,login,success
2025-10-01 23:45:00,249.75.167.61,88.78.209.227,charlie,port_scan,failure
2025-10-01 02:22:00,98.45.180.237,128.54.232.214,david,password_change,failure
2025-10-01 06:07:00,99.77.233.14,30.196.90.86,bob,password_change,failure
2025-10-01 19:22:00,242.8.169.18,57.82.148.133,frank,port_scan,failure
2025-10-01 23:32:00,60.156.128.90,58.238.243.79,bob,login,success
2025-10-01 06:57:00,235.248.31.125,198.162.172.53,helen,failed_login,success
2025-10-01 23:36:00,116.86.124.152,221.102.63.63,alice,port_scan,success
