source_ip,total_activity_count,failed_login_events,port_scan_events,port_scan_unique_targets,failed_login,file_access,login,logout,password_change,port_scan
101.227.123.244,1,1,0,0,1,0,0,0,0,0
111.100.44.106,1,1,0,0,1,0,0,0,0,0
112.181.116.52,1,1,0,0,1,0,0,0,0,0
114.46.11.252,1,1,0,0,1,0,0,0,0,0
117.154.190.105,1,1,0,0,1,0,0,0,0,0
118.33.79.158,1,1,0,0,1,0,0,0,0,0
125.193.52.253,1,1,0,0,1,0,0,0,0,0
127.203.255.50,1,1,0,0,1,0,0,0,0,0
127.78.9.10,1,1,0,0,1,0,0,0,0,0
128.14.116.119,1,1,0,0,1,0,0,0,0,0
128.242.170.66,1,1,0,0,1,0,0,0,0,0
134.106.250.216,1,1,0,0,1,0,0,0,0,0
136.207.158.67,1,1,0,0,1,0,0,0,0,0
162.254.239.113,1,1,0,0,1,0,0,0,0,0
163.132.103.247,1,1,0,0,1,0,0,0,0,0
163.245.7.15,1,1,0,0,1,0,0,0,0,0
164.6.156.48,1,1,0,0,1,0,0,0,0,0
171.195.197.183,1,1,0,0,1,0,0,0,0,0
175.100.58.180,1,1,0,0,1,0,0,0,0,0
183.102.4.108,1,1,0,0,1,0,0,0,0,0
188.138.194.152,1,1,0,0,1,0,0,0,0,0
199.28.46.251,1,1,0,0,1,0,0,0,0,0
204.249.150.162,1,1,0,0,1,0,0,0,0,0
207.7.178.223,1,1,0,0,1,0,0,0,0,0
211.109.16.162,1,1,0,0,1,0,0,0,0,0
214.25.158.174,1,1,0,0,1,0,0,0,0,0
23.82.155.134,1,1,0,0,1,0,0,0,0,0
235.248.31.125,1,1,0,0,1,0,0,0,0,0
241.142.47.189,1,1,0,0,1,0,0,0,0,0
253.207.232.108,1,1,0,0,1,0,0,0,0,0
31.74.112.76,1,1,0,0,1,0,0,0,0,0
5.242.183.197,1,1,0,0,1,0,0,0,0,0
51.86.32.18,1,1,0,0,1,0,0,0,0,0
58.98.179.195,1,1,0,0,1,0,0,0,0,0
59.239.184.147,1,1,0,0,1,0,0,0,0,0
6.232.143.86,1,1,0,0,1,0,0,0,0,0
68.32.26.236,1,1,0,0,1,0,0,0,0,0
7.141.115.120,1,1,0,0,1,0,0,0,0,0
71.142.239.173,1,1,0,0,1,0,0,0,0,0
87.57.78.170,1,1,0,0,1,0,0,0,0,0
10.250.201.147,1,0,1,1,0,0,0,0,0,1
102.224.51.213,1,0,1,1,0,0,0,0,0,1
111.87.38.207,1,0,1,1,0,0,0,0,0,1
116.86.124.152,1,0,1,1,0,0,0,0,0,1
134.226.236.207,1,0,1,1,0,0,0,0,0,1
140.183.169.153,1,0,1,1,0,0,0,0,0,1
185.139.90.132,1,0,1,1,0,0,0,0,0,1
186.55.75.232,1,0,1,1,0,0,0,0,0,1
191.34.81.69,1,0,1,1,0,0,0,0,0,1
2.177.119.0,1,0,1,1,0,0,0,0,0,1
20.137.170.122,1,0,1,1,0,0,0,0,0,1
226.60.69.43,1,0,1,1,0,0,0,0,0,1
232.53.167.36,1,0,1,1,0,0,0,0,0,1
242.8.169.18,1,0,1,1,0,0,0,0,0,1
243.241.197.1,1,0,1,1,0,0,0,0,0,1
249.75.167.61,1,0,1,1,0,0,0,0,0,1
25.146.66.54,1,0,1,1,0,0,0,0,0,1
28.157.89.176,1,0,1,1,0,0,0,0,0,1
3.153.253.243,1,0,1,1,0,0,0,0,0,1
35.163.11.170,1,0,1,1,0,0,0,0,0,1
38.87.237.237,1,0,1,1,0,0,0,0,0,1
47.232.180.201,1,0,1,1,0,0,0,0,0,1
48.222.67.40,1,0,1,1,0,0,0,0,0,1
58.156.159.38,1,0,1,1,0,0,0,0,0,1
65.201.34.75,1,0,1,1,0,0,0,0,0,1
67.154.235.147,1,0,1,1,0,0,0,0,0,1
69.117.192.62,1,0,1,1,0,0,0,0,0,1
69.173.237.44,1,0,1,1,0,0,0,0,0,1
70.125.72.245,1,0,1,1,0,0,0,0,0,1
76.134.107.173,1,0,1,1,0,0,0,0,0,1
77.152.186.105,1,0,1,1,0,0,0,0,0,1
81.151.21.82,1,0,1,1,0,0,0,0,0,1
84.173.121.109,1,0,1,1,0,0,0,0,0,1
89.18.80.29,1,0,1,1,0,0,0,0,0,1
94.114.133.187,1,0,1,1,0,0,0,0,0,1
101.188.91.105,1,0,0,0,0,0,0,1,0,0
101.203.49.22,1,0,0,0,0,0,0,1,0,0
110.141.30.222,1,0,0,0,0,0,1,0,0,0
112.90.60.69,1,0,0,0,0,0,0,0,1,0
117.91.41.250,1,0,0,0,0,0,0,1,0,0
12.138.64.178,1,0,0,0,0,0,0,0,1,0
121.56.13.98,1,0,0,0,0,0,1,0,0,0
129.170.121.179,1,0,0,0,0,0,1,0,0,0
13.221.205.235,1,0,0,0,0,0,1,0,0,0
135.17.41.1,1,0,0,0,0,0,0,0,1,0
138.17.247.87,1,0,0,0,0,1,0,0,0,0
139.155.4.36,1,0,0,0,0,0,1,0,0,0
14.230.252.49,1,0,0,0,0,0,0,0,1,0
143.168.17.178,1,0,0,0,0,0,0,0,1,0
144.201.0.185,1,0,0,0,0,0,0,1,0,0
145.156.45.44,1,0,0,0,0,0,0,0,1,0
146.102.215.143,1,0,0,0,0,1,0,0,0,0
147.175.155.255,1,0,0,0,0,0,1,0,0,0
150.112.140.117,1,0,0,0,0,0,1,0,0,0
150.96.119.130,1,0,0,0,0,0,0,0,1,0
152.222.39.122,1,0,0,0,0,0,0,0,1,0
153.137.71.230,1,0,0,0,0,0,1,0,0,0
155.138.225.21,1,0,0,0,0,1,0,0,0,0
157.251.151.45,1,0,0,0,0,1,0,0,0,0
158.176.125.71,1,0,0,0,0,0,1,0,0,0
164.111.129.47,1,0,0,0,0,0,1,0,0,0
172.133.4.99,1,0,0,0,0,0,0,0,1,0
175.138.237.227,1,0,0,0,0,0,1,0,0,0
175.214.163.165,1,0,0,0,0,0,1,0,0,0
175.243.46.229,1,0,0,0,0,1,0,0,0,0
177.214.34.91,1,0,0,0,0,0,1,0,0,0
181.64.47.244,1,0,0,0,0,0,0,0,1,0
184.118.54.84,1,0,0,0,0,0,0,0,1,0
184.202.9.72,1,0,0,0,0,0,0,1,0,0
187.254.47.209,1,0,0,0,0,0,0,0,1,0
189.164.51.248,1,0,0,0,0,0,0,1,0,0
19.254.222.2,1,0,0,0,0,1,0,0,0,0
19.32.70.230,1,0,0,0,0,1,0,0,0,0
192.56.80.19,1,0,0,0,0,0,1,0,0,0
194.222.221.162,1,0,0,0,0,0,1,0,0,0
195.162.148.58,1,0,0,0,0,0,0,0,1,0
195.47.26.165,1,0,0,0,0,0,0,0,1,0
196.210.223.254,1,0,0,0,0,1,0,0,0,0
197.65.110.229,1,0,0,0,0,1,0,0,0,0
198.165.252.158,1,0,0,0,0,0,1,0,0,0
2.107.135.238,1,0,0,0,0,0,0,0,1,0
2.129.65.90,1,0,0,0,0,0,0,0,1,0
200.82.142.241,1,0,0,0,0,0,0,0,1,0
202.254.33.144,1,0,0,0,0,0,0,1,0,0
209.114.63.246,1,0,0,0,0,0,1,0,0,0
21.76.142.99,1,0,0,0,0,0,1,0,0,0
210.224.174.162,1,0,0,0,0,0,0,0,1,0
210.29.243.52,1,0,0,0,0,0,0,0,1,0
212.148.249.168,1,0,0,0,0,1,0,0,0,0
213.114.1.145,1,0,0,0,0,0,0,1,0,0
213.186.180.216,1,0,0,0,0,0,0,0,1,0
215.33.199.207,1,0,0,0,0,0,0,1,0,0
215.57.240.10,1,0,0,0,0,0,0,0,1,0
216.23.224.239,1,0,0,0,0,0,0,0,1,0
225.31.248.5,1,0,0,0,0,0,0,0,1,0
225.77.33.210,1,0,0,0,0,0,0,1,0,0
